ROW TYPE,ATTRIBUTE_NAME,Realisation,Initialisation,Parameters,ent_fac_dp,ent_fac_md,amdet_fac,r_det,cca_md_knob,cca_dp_knob,cca_sh_knob,mparwtr,qlmin,gwd_frc,fbcd,gwd_fsat,gsharp,nsigma,g0_rp,ricrit_rp,orog_drag_param,a_ent_1_rp,g1_rp,zhloc_depth_fac,par_mezcla,lambda_min_rp,dec_thres_cloud,dec_thres_cu,forced_cu_fac,dbsdtbs_turb_0,two_d_fsd_factor,dp_corr_strat,ice_width,c_r_correl,m_ci,ai,x1r,ar,mp_dz_scal,ps_anth_so2_emiss,ps_dry_depvel_so2,ps_sigma_updraught,biom_aer_ems_scaling,ps_natl_ss_emiss,ps_acc_cor_scav,param_cloud_hplus,ps_natl_dms_emiss,u10_max_coare,r0,rho_snow_fresh,tupp_io,f0_io,dz0v_dh_io,nl0_io,rootd_ft_io,psm
Experiment,,1,1,0,1.13,0.9,3,0.8,0.1,0.1,0.2,0.0015,0.0003,4,4,0.25,0.5,2.5,10,1,0.15,0.23,0.85,0.4,0.15,40,0.1,0.05,0.5,0.00015,1.5,10000,0.02,0.9,1,0.0257,0.22,1,1,1,1,1,2,1,1,5,1,22,50,109,36,0.875,0.05,0.04,3,1
Experiment,,1,1,1,0.691806132,1.461924618,2.089755941,0.515753329,0.149142804,0.149142804,0.207518519,0.001678357,0.000222584,6.156339416,3.496809583,0.544902585,1.286648387,1.539259943,16.27665093,0.614377002,0.071414931,0.417801761,1.544049985,0.186364074,0.221864084,59.16375579,0.043482113,0.021741056,0.520983264,9.57E-05,1.112641508,11059.32106,0.531307538,0.772280102,0.6919755,0.027364465,0.163673578,0.751587875,2.498082307,1.331377487,0.845446411,0.551804314,0.817279802,0.320379978,1.75719362,6.391263463,1.211701341,22.57991792,53.37393149,102.071328,30.4900584,0.781969257,0.078527131,0.05627155,2.633677173,1.036884995
Experiment,,1,1,2,2.71068315,0.66015594,2.679213199,0.631654826,0.482799866,0.482799866,0.376606147,0.001080706,0.000497673,6.342794982,3.05552704,1.422208469,0.595884322,2.102498055,28.30795916,0.35325754,0.570232955,0.171172006,0.632592195,0.62996209,0.161013398,42.93690603,0.087044473,0.043522237,0.420747286,4.07E-05,1.314065503,23530.4785,0.157919137,0.960810978,1.522194222,0.016898628,0.146561748,0.456309463,1.10558082,0.684335651,0.433745502,0.280578553,2.630872709,2.397560261,1.198070301,5.750068064,0.759783939,17.32014386,44.92534832,106.8926734,32.25240692,0.707146252,0.090191645,0.076794303,0.891527406,0.894430918
Experiment,,1,1,3,2.02776789,2.095871217,5.284999103,0.856869191,0.213073036,0.213073036,0.204842875,0.001442481,0.000362686,4.118911476,5.656823228,0.841246656,1.403488803,4.960051694,4.341239712,2.303489478,0.2898615,0.070690185,0.261246336,0.703025469,0.361662135,96.4432359,0.10475304,0.05237652,0.914126105,0.000427153,1.500787235,17800.22235,0.161721339,0.744774495,2.02409122,0.037827024,0.267349558,0.17516624,0.393817775,0.916515967,2.814567137,0.462397785,1.940867229,0.905672883,1.72164129,6.758738687,1.293977723,17.46319327,49.58186103,104.4984622,37.07296537,0.768698393,0.024899367,0.024116614,2.699242653,1.541108297
Experiment,,1,1,4,2.702454313,2.197831274,9.640982778,0.532652645,0.091048471,0.091048471,0.157551003,0.001470481,0.000451541,7.753445603,7.734964725,0.58599662,0.375202038,5.451433118,16.70637698,0.598573827,0.069432072,0.109446757,0.404477145,0.105171841,0.113018981,30.13839486,0.169262029,0.084631014,0.3535006,0.000403833,1.717878714,14540.16289,0.180312832,0.958138615,1.142869396,0.05072998,0.301677847,0.033846129,1.44134825,1.459655312,1.596774175,0.355602582,2.028420661,0.56217015,1.728411542,5.608241347,1.315418087,23.23534763,54.6112403,120.6690067,34.94470528,0.94322842,0.086428972,0.068098251,2.279787069,0.909713683
Experiment,,1,1,5,1.156742578,0.010130582,3.301676541,0.578155384,0.052843625,0.052843625,0.069324387,0.001339356,0.000134986,4.547685971,4.378161608,0.424400794,0.235853987,4.480619646,6.193856236,1.614503085,0.792222292,0.464347923,1.716068411,0.58065861,0.040111741,10.69646426,0.173928016,0.086964008,0.653008627,0.000144549,1.213121184,16632.322,0.651701107,0.590131535,1.265378821,0.015079363,0.214312621,0.972382617,0.517637238,0.853097927,0.481891589,0.429857742,1.643339548,0.374111691,1.559576935,5.904941886,0.912472861,18.31386197,53.62467961,122.1992467,36.34163347,0.706709061,0.022584931,0.06365575,6.124898229,1.608281132
Experiment,,1,1,6,2.54792015,1.996321156,0.127355098,0.852626756,0.417302527,0.417302527,0.148359272,0.001623733,0.00038858,8.536747152,8.733347936,1.099066338,1.684596228,3.25311912,19.46276072,0.513801724,0.967022112,0.081801217,0.302308844,0.205871922,0.053274373,14.20649949,0.078209296,0.039104648,0.594314258,0.000199615,1.305306015,12547.10469,0.28828021,0.320520846,0.782188221,0.020251523,0.20180079,0.856185445,2.816933919,0.681852191,0.593641105,0.54638199,1.310894965,1.847058019,1.873462789,6.495393261,1.308489099,16.35530271,48.1482486,112.5911213,29.15465733,0.933465684,0.127235727,0.015913363,3.570422297,1.069238947
Experiment,,1,1,7,2.673849919,1.418822961,12.85843759,0.534497855,0.206951163,0.206951163,0.216281003,0.001378769,0.000147367,1.392932687,7.769754704,0.532527639,0.903741642,3.448361763,21.89843317,0.456653676,0.353852545,0.362987935,1.341477151,0.538754483,0.157430584,41.98148914,0.130113805,0.065056903,0.529505709,0.000619097,1.951566851,10512.31269,0.055447542,0.267353821,1.696961069,0.030984533,0.231931681,0.679396905,2.492570477,1.066397012,2.545423722,0.283536957,0.842499632,3.289216398,1.162443809,5.726399403,1.733100858,16.10940973,52.22657201,97.5423525,35.14969814,0.678926374,0.088736359,0.086060633,3.204178747,1.286045767
Experiment,,1,1,8,1.193166841,2.020790679,4.630076595,0.694139153,0.13000321,0.13000321,0.199447347,0.001936422,0.000191459,6.71898302,5.556115399,0.446764979,0.964653738,4.676310395,22.25462187,0.449344862,0.106715801,0.365744569,1.351664712,0.07809975,0.096475205,25.72672125,0.126700163,0.063350082,0.228045703,0.00018983,1.735729953,9791.854135,0.172288346,0.682601626,1.04387541,0.018208321,0.130951935,0.693469344,2.792856122,0.985563113,2.243976462,0.472446866,0.576710209,1.011402078,1.696901541,5.794291086,1.565409411,19.23757569,57.08491098,112.9810763,40.11070176,0.891723574,0.094691757,0.046409824,2.140361718,1.527809357
Experiment,,1,1,9,1.473785578,2.497968502,10.4715162,0.827369631,0.323222811,0.323222811,0.138307818,0.001634257,0.000211415,3.657848232,9.017642033,0.307224164,1.629423588,4.24776686,6.30194759,1.586811039,0.419695426,0.358463206,1.324755326,0.227641292,0.28403517,75.74271211,0.146690224,0.073345112,0.578963995,0.000831421,1.415774106,29378.29145,0.926607078,0.697364095,2.657020111,0.010532131,0.166992394,0.765662815,0.92388423,1.015937572,0.621016071,0.424654022,2.1381118,1.977866483,1.306826283,5.186191785,0.794766497,18.74706288,43.08990679,97.94977978,40.38338052,0.720481945,0.043709165,0.08074469,1.505718717,0.829541923
Experiment,,1,1,10,1.08155051,1.145191853,6.830458005,0.498433497,0.291594708,0.291594708,0.115405446,0.001538301,0.000274838,7.076565962,6.286070613,0.89257669,1.781780282,2.433856209,42.89733284,0.233114726,0.112782975,0.09083684,0.335701364,0.061383366,0.046662112,12.44322982,0.266425911,0.133212956,0.620721406,0.000653692,1.68943534,8946.322221,0.831827086,0.280026842,0.614859418,0.014781668,0.234174773,0.902443861,0.489113947,1.328759174,0.530919359,0.418210797,2.183948858,1.728365202,1.129309128,6.028443821,0.827149273,23.38740809,62.51641422,95.72054694,28.89837221,0.752234065,0.116779821,0.055114281,0.610055139,1.080047658
Experiment,,1,1,11,2.534238251,1.029149017,11.07199342,0.519417887,0.188664412,0.188664412,0.495896406,0.001076548,0.00049693,3.77418156,0.647202129,0.222297848,0.859745168,3.03979945,25.85112563,0.386830351,0.529017254,0.411109095,1.519316222,0.694355425,0.259075932,69.08691531,0.025525042,0.012762521,0.312132215,0.000686236,1.126896874,35194.55466,0.046457844,0.597552228,0.819811575,0.026577639,0.167533259,0.399702181,1.358742605,1.079718167,0.703508029,0.441929563,1.69778692,3.690170997,1.138529109,6.061050556,1.135363995,20.69918449,68.82830343,78.03363785,38.7214323,0.704652657,0.022463185,0.07569185,1.229092282,0.950697278
Experiment,,1,1,12,3.6602324,0.343310361,13.97431134,0.527810591,0.311874993,0.311874993,0.344142478,0.001719294,0.000481836,1.093762561,7.786138758,0.778133495,1.274323569,5.019189305,28.10054325,0.355865006,0.454914135,0.22038249,0.814457029,0.620516661,0.032733758,8.729002147,0.02271143,0.011355715,0.370851936,0.000833697,1.319541538,18251.09797,0.4057657,0.915714629,1.37158849,0.013126473,0.195121776,0.846734837,0.71088512,0.899252305,0.687358843,0.353842069,2.196124737,5.080674477,1.77433291,6.27394867,1.455198502,21.98077611,56.29215558,117.5183348,30.62645421,0.871722735,0.049684376,0.084578809,6.204379781,1.016439019
Experiment,,1,1,13,0.849377194,2.383007357,10.42167976,0.472820791,0.295994756,0.295994756,0.559956568,0.001045553,0.000346484,2.183043943,1.406781731,0.80382375,0.278122425,3.128030781,10.97136223,0.911463844,0.174105486,0.319980491,1.182536597,0.319996311,0.052820502,14.08546715,0.054834146,0.027417073,0.556744274,0.000524766,1.037704286,4854.705442,0.130876968,0.503637035,0.500249845,0.02463632,0.219534324,0.998280004,2.484850473,1.169328523,1.725182028,0.433665541,2.375549222,1.690653288,0.977769627,6.09858505,1.61347672,21.7538827,53.91615117,93.80866358,37.96773296,0.814153174,0.016110022,0.075734562,4.024241406,0.551402037
Experiment,,1,1,14,1.296646003,1.902570122,3.163723057,0.890711909,0.142739807,0.142739807,0.095020807,0.001056347,0.000389322,6.359530096,4.625925235,0.333392234,0.97347811,5.57719249,11.5516173,0.865679648,0.799358229,0.281253067,1.039413507,0.093874367,0.202706604,54.05509434,0.128206085,0.064103043,0.890002599,0.000163459,1.325680793,24686.0008,0.206042211,0.746330598,1.248285583,0.033539345,0.23223262,0.133069794,2.007894821,0.756705473,0.409139178,0.534749239,2.590611166,2.243867896,1.780434396,6.379569301,0.667100663,17.10899386,58.08557194,116.7119872,39.83454322,0.719449005,0.06775075,0.05680153,1.099364165,1.167262265
Experiment,,1,1,15,0.527412315,0.802938782,0.643085233,0.540256379,0.279051019,0.279051019,0.151888948,0.001678057,0.000187344,1.713209733,8.705431411,1.281407353,1.080527972,3.141904693,12.42926186,0.804553007,0.367717159,0.149450057,0.552315426,0.928344105,0.042869582,11.43188841,0.066594181,0.03329709,0.590474569,0.000527941,1.069669845,14408.07844,0.228334556,0.481147217,1.362603763,0.025751907,0.16666999,0.82107168,2.920314474,1.012460784,0.490543558,0.417167101,2.407922722,2.429538644,1.268425966,5.554700911,1.271284353,19.30563752,59.50233487,108.8483544,39.14145847,0.876697251,0.03882935,0.055557814,1.672193782,0.927579341
Experiment,,1,1,16,0.77168411,1.15009236,1.925880332,0.912157473,0.345341606,0.345341606,0.402835792,0.001271503,0.000394432,1.059481904,6.393367545,1.389423952,0.740756601,4.664228312,28.96055152,0.345297292,0.723678927,0.229299788,0.84741226,0.218913711,0.103400184,27.57338242,0.102868756,0.051434378,0.598366619,0.000393332,1.858152917,11157.46544,0.036131013,0.081436894,2.508732822,0.029245514,0.319478689,0.163627249,1.598928682,1.381835514,1.652903779,0.553673313,2.77915323,1.897710707,1.345776656,5.790603414,1.558496851,16.65639655,61.06452774,102.6277644,38.86069439,0.955892507,0.109637532,0.044308725,0.832610797,0.825432492
Experiment,,1,1,17,0.871938936,1.320643751,10.69944783,0.562007182,0.249296328,0.249296328,0.104551242,0.001901402,0.000254224,6.68026643,2.974630546,1.231111361,1.56691471,3.766712206,7.958472255,1.256522569,0.15077988,0.461344772,1.704969811,0.972168678,0.095565394,25.48410506,0.123573443,0.061786721,0.780500771,8.90E-05,1.450597704,8232.286964,0.475414707,0.964970958,1.412874237,0.013315597,0.431367543,0.771357818,2.429998218,1.15127829,2.747318185,0.152622256,1.366060764,2.039769018,1.603071871,5.856579107,1.255088896,18.09545798,47.52901347,77.54615802,35.97656264,0.911191308,0.108123127,0.055955583,0.424424684,1.576919784
Experiment,,1,1,18,1.103605262,1.653220956,8.24948497,0.729786874,0.435624874,0.435624874,0.125961691,0.001582855,8.99E-05,2.61908896,1.049681702,0.548525212,1.305157748,3.69039618,17.89336663,0.558866322,0.549508663,0.203821926,0.753254944,0.467226738,0.263573895,70.28637187,0.075609564,0.037804782,0.499235035,0.000386666,1.135751873,19561.14237,0.899852727,0.636699279,1.600331932,0.010954939,0.150963196,0.528852875,1.755716556,1.060960593,3.485489262,0.141912457,0.993276438,2.297154969,0.793019122,5.044570796,0.659110492,15.32940923,57.76440457,95.90790118,34.25651491,0.810364115,0.131810921,0.040295558,1.04985104,1.21002457
Experiment,,1,1,19,2.346494299,2.133886783,1.473371496,0.555500685,0.308358622,0.308358622,0.267731022,0.001031815,0.000437171,5.337889489,6.68146342,1.001940005,0.909363915,3.507074945,15.00542418,0.666425679,0.232885968,0.43053149,1.591094638,0.90287337,0.231379361,61.70116289,0.072999732,0.036499866,0.589821325,0.000338646,1.710955644,3764.82635,0.201601655,0.49342238,1.550149346,0.038187549,0.215706994,0.197684716,1.258254746,1.029525992,0.624529605,0.248274251,0.561736127,0.415564734,1.534436193,5.729520558,1.884555829,19.13320794,42.64962706,98.96838269,35.07018103,0.819068305,0.032307035,0.01757758,4.197415852,1.444165955
Experiment,,1,1,20,1.129746174,2.242365883,3.189913943,0.417229646,0.124650151,0.124650151,0.156103054,0.001525016,0.000304054,8.336100959,7.820550516,0.811055483,1.255450608,3.524528363,7.768850879,1.287191652,0.074802233,0.272735365,1.007935045,0.71934495,0.354148515,94.43960408,0.111296715,0.055648357,0.427839414,0.00053229,1.227207444,16367.65116,0.570857019,0.01876138,0.765878198,0.029850437,0.158643689,0.478446256,1.366749093,0.796945729,0.934942247,0.488111407,2.2607405,0.666919752,1.056315809,5.852207087,0.954587865,19.91624727,47.25556037,98.81405637,29.8763002,0.834704562,0.086192761,0.020509983,1.469856956,0.899872093
Experiment,,1,1,21,0.176586736,2.419143824,1.041186279,0.678511809,0.067245029,0.067245029,0.038676925,0.001626565,0.000246065,2.333081075,6.128884884,0.369277036,1.478079342,3.33405491,4.680181703,2.13666918,0.292019286,0.340428092,1.258103818,0.344793151,0.291238829,77.66368775,0.22228553,0.111142765,0.52616137,9.98E-05,1.687268951,15317.88462,0.772689592,0.370055908,0.999854838,0.032973129,0.382853484,0.185013188,1.086389344,1.069129014,0.97600794,0.295057692,2.842923375,1.88947992,1.90153519,5.823260045,1.323298337,17.01044198,41.37183371,109.9241121,34.21682185,0.943438225,0.1128706,0.068736134,3.642946896,0.640492811
Experiment,,1,1,22,2.054174484,0.67566981,2.933106472,0.544127413,0.184350271,0.184350271,0.122087358,0.001629864,8.01E-05,5.546501202,0.940543922,0.430000739,1.343809013,3.491059663,10.39300722,0.962185419,0.588474161,0.23457068,0.866891644,0.054793293,0.108519888,28.93863687,0.082204399,0.041102199,0.561829935,0.000579685,1.685737713,34897.07157,0.895576872,0.846472774,2.742937242,0.03952112,0.197609083,0.34070343,1.550378096,0.993316075,0.792195397,0.447263793,1.881797893,1.132181189,0.75454702,5.367483236,1.033794134,15.8263937,74.81680889,108.71254,34.14269991,0.776412157,0.025297435,0.047016598,2.89856393,1.243461943
Experiment,,1,1,23,1.39200542,0.540226819,4.582362415,0.760244045,0.317191299,0.317191299,0.114590561,0.001731214,0.000412973,3.379810204,0.562625758,1.299024544,1.29890771,2.517248831,8.729243092,1.145574696,0.42436856,0.166161007,0.614073287,0.438223574,0.060002113,16.00056343,0.073602908,0.036801454,0.703451577,0.000329777,1.598854116,27905.59641,0.144801488,0.766032302,0.57624616,0.029580075,0.240494895,0.34837641,2.857004267,0.776925138,1.257993968,0.465946835,3.078077869,0.846603035,1.108665734,5.590826593,1.634796957,15.77166327,54.41199962,115.56364,33.20565885,0.690404727,0.021932538,0.038977155,2.166878262,0.94098239
Experiment,,1,1,24,2.28136687,1.338989601,5.213940879,0.748397883,0.118904199,0.118904199,0.353945285,0.001093371,9.74E-05,4.821141626,2.92899209,0.307976897,1.246762436,4.839373492,30.15877787,0.331578423,0.265512531,0.076874526,0.284101511,0.976682462,0.059166359,15.77769581,0.164798709,0.082399354,0.490474567,0.000607988,1.160463013,8485.666363,0.218600394,0.485959869,2.13194649,0.007485473,0.101935542,0.601239546,0.843410327,1.285213052,0.622267156,0.530988107,2.976479596,2.844812244,1.52628417,5.183075749,1.64616445,21.66795955,75.86801317,115.4647429,36.23515908,0.922643545,0.030358635,0.033233954,1.063244362,0.704836049
Experiment,,1,1,25,3.126617127,1.005009551,8.555346338,0.768804007,0.289714026,0.289714026,0.193830067,0.001210971,0.000210844,4.591512369,1.610696516,0.968584702,0.423556981,3.551213492,39.09641007,0.25577796,0.602984662,0.147519202,0.545179661,0.20360854,0.196708806,52.45568154,0.150837054,0.075418527,0.395891522,0.000588879,1.294054818,27191.47188,0.121368775,0.266602494,2.718214872,0.020466791,0.285182499,0.926087445,2.89646759,0.717124856,1.986640126,0.555251696,0.755941163,5.47266894,1.403969278,6.454689349,1.560782242,17.37941836,49.90348083,123.5643243,32.86223507,0.695016617,0.038416427,0.110376374,2.023067551,1.286421614
Experiment,,1,1,26,0.38612501,0.651702546,6.67697387,0.83003788,0.156908486,0.156908486,0.043389873,0.001350505,0.00037117,1.599742091,4.976374453,0.114611508,1.385213472,5.054187529,33.76396293,0.296173764,0.539465736,0.079241681,0.29284969,0.33991389,0.175440717,46.78419121,0.088931137,0.044465568,0.23242928,0.000541019,1.087972115,22161.26198,0.535089105,0.912634608,0.901939616,0.019471686,0.154916593,0.777010365,1.80857862,0.851296068,0.802495612,0.198368738,2.288244512,0.491074279,1.798515888,5.570566275,1.436335667,22.81772196,62.07002187,76.31015501,35.60534477,0.754119991,0.082416472,0.06570335,3.077339794,1.927757703
