ROW TYPE,ATTRIBUTE_NAME,Realisation,Initialisation,Parameters,prog_ent_max,prog_ent_min,prog_ent_xmin,prog_ent_int,prog_ent_grad,eff_dcfl,eff_dcff,cpress_term,ent_fac_sh,orig_mdet_fac,r_det,cca_md_knob,mparwtr,qlmin,stag_dropoff,cape_timescale,efrac,thpixs_mid,c_mass_sh,gwd_frc,fbcd,gsharp,nsigma,nsigmasf,fcrit,ez_max_bm,g0_rp,ricrit_rp,orog_drag_param,a_ent_1_rp,g1_rp,a_ent_2,dec_thres_cloud,par_mezcla_rp,lambda_min_rp,near_neut_z_on_l,tke_diag_fac,cbl_mix_fac_nml,dbsdtbs_turb_0,two_d_fsd_factor,dp_corr_strat,ice_width,c_r_correl,aut_qc,m_ci_rp,ai,x1r,ar,mp_dz_scal,param_mp_czero,param_mp_tau_lim,qclrime,ps_anth_so2_emiss,ps_dry_depvel_so2,ps_sigma_updraught,biom_aer_ems_scaling,sea_salt_ems_scaling,ps_acc_cor_scav,ps_natl_dms_emiss,marine_pom_ems_scaling,ps_dry_depvel_acc,ps_bc_refrac_im,aparam,liu_latent,bparam,u10_max_coare,rho_snow_fresh,a_snow_et,rho_snow_et_crit_delta,rho_snow_et_crit,can_clump_broadleaf,can_clump_needleleaf,tupp_io,f0_io,z0v_io,nl0_io,rootd_ft_io,n_lai_exposed3and4,fsmc_p0_io,gs_nvg_io
Parameter,transformFunc,,,,,,,make_prog_ent_int_ga9,make_prog_ent_grad_ga9,,,,,,,,,,,,,,,,,,,,,,,g0toRicrit,,,a_ent_1_to_g1,,,,par_mezcla_rp2lambda_lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aparam2bparam,,,,,make_rho_snow_et_crit,,,,,,,,,,
Parameter,distribution,,,,"UniformRandom(1.5, 3)","UniformRandom(0.3, 0.7)","UniformRandom(-3.6, -2.6)",,,"RandomTrapezoidal(0.8, 1, 3, 4.5)","RandomTrapezoidal(0.8, 1.5, 6, 9)","RandomTrapezoidal(0, 0, 0.9, 0.99)","TruncatedGamma(0.33, 3.0, 1, 8)","TruncatedGamma(0.2, 5, 1, 2.5)","RandomTrapezoidal(0.3, 0.5, 0.9, 0.99)","RandomTrapezoidal(0.0, 0.5, 1.5, 2)","RandomTrapezoidal(0.001, 0.001, 0.0015, 0.002)","RandomTrapezoidal(0.00005, 0.0001, 0.0009, 0.001)","RandomTrapezoidal(1, 1, 2, 5)","TruncatedGamma(900, 10800, 1800, 3)","Beta(4, 1, 0.0, 1)","RandomTrapezoidal(0, 0.2, 0.8, 1.0)","TruncatedGamma(0.01, 0.09, 0.03, 8)","RandomTrapezoidal(0.5, 1, 6, 7)","RandomTrapezoidal(0, 0.5, 8, 10)","RandomTrapezoidal(0, 0.1, 2.0, 3)","RandomTrapezoidal(1, 1.75, 3, 4.5)","RandomTrapezoidal(1, 1.75, 3, 4.5)","TruncatedGamma(0.5, 6, 1, 2.5)","TruncatedGaussian(300.0, 500.0, 400.0, 50.0)","RandomTrapezoidal(2.5, 5, 20, 50)",,"RandomTrapezoidal(0, 0.05, 0.5, 1)","RandomTrapezoidal(0, 0.1, 0.4, 0.5)","RandomTrapezoidal(0, 0.5, 1.5, 2)","PiecewisePdf((0, 0.3), (0.04, 1), (0.072, 1), (0.1, 0))","TruncatedGamma(0.01, 0.8, 0.1, 3)","RandomTrapezoidal(0, 0.03, 0.225, 0.45)","RandomTrapezoidal(0, 8, 60, 120)","TruncatedGamma(0, 10, 1.6, 2)","TruncatedGamma(0.25, 4, 1, 5)","RandomTrapezoidal(0, 0, 0, 1)","RandomTrapezoidal(0, 0.0001, 0.0005, 0.001)","RandomTrapezoidal(1, 1.1, 1.9, 2)","RandomTrapezoidal(2500, 5000, 20000, 40000)","UniformRandom(0.001, 1)","PiecewisePdf((0, 0.35), (0.7, 1.25), (0.9, 1), (1, 0.5))","RandomTrapezoidal(2.15, 2.41, 3.02, 3.31)","TruncatedGamma(0.33, 3, 1, 5)","TruncatedGamma(0.0061, 0.0555, 0.0185, 3)","TruncatedGamma(0.09, 0.52, 0.22, 12)","PiecewisePdf((0, 1), (0.5, 0.75), (1, 0.5))","RandomTrapezoidal(0, 1, 2, 4)","RandomTrapezoidal(2, 4, 10, 12)","TruncatedGamma(600, 9600, 1200, 2)","RandomTrapezoidal(1e-06, 5e-05, 0.0002, 0.001)","RTrapezoidal(0.6,0.81,1.09,1.5,2,2)","RTrapezoidalLog10Scale(-0.69,-0.25,0.25,0.69,2,2)","RTrapezoidal(0.25, 0.9, 1.1, 1.75, 2, 2)","RTrapezoidal(0.25,0.8,2.2,4,2,2)","TruncatedGamma(0.12, 4, 1, 2.5)","RTrapezoidal(0.5, 0.81,  0.99, 2, 4, 1)","RTrapezoidal(0.5, 1.26, 1.82, 2, 2, 3)","RandomTrapezoidal(0.25, 0.5, 2.0, 4.0)","RandomTrapezoidal(0.1, 0.32, 3.16, 10)","RandomTrapezoidal(0.38, 0.52, 1.0, 1.14)","UniformRandom(0.03, 0.12)","UniformRandom(-0.007, 0.007)",,"RandomTrapezoidal(14, 15, 23, 24)","RandomTrapezoidal(50, 109, 109, 160)","Beta(2, 4, 1e-6, 7e-6)","RandomTrapezoidal(0, 21, 61, 82)",,"RandomTrapezoidal(2,4,10,12)","TruncatedGamma(2, 12, 5, 8)","RandomTrapezoidal(25,31,40,41)","RandomTrapezoidal(0.65, 0.7, 0.95, 0.972)","TruncatedGamma(0.55, 2.2, 1.1, 10)","RandomTrapezoidal(0.01, 0.02,0.06, 0.12)","RandomTrapezoidal(0,1,4,8)","RandomTrapezoidal(0.25, 0.5, 3.5, 4)","UniformRandom(0, 0.8)","TruncatedGamma(0.005, 0.02, 0.01, 10)"
Parameter,allowOutsideRange,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Parameter,Signature effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,Explicit resolution dependency,,,,,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes. (see LRs excel),,,,,,,,,,,,,,,,,,,,,,,,
Parameter,References/key evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,namelistFile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,namelist,,,,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_sl,run_convection,run_convection,run_convection,run_convection,run_gwd,run_gwd,run_gwd,run_gwd,run_precip,run_precip,run_cloud,run_stochastic,run_stochastic,jules_surface,run_stochastic,run_stochastic,run_bl,run_bl,run_stochastic,run_stochastic,run_bl,run_bl,run_bl,run_cloud,run_radiation,run_radiation,run_cloud,run_precip,run_precip,run_stochastic,run_precip,run_precip,run_precip,run_precip,run_precip,run_precip,run_precip,run_ukca,run_ukca,run_ukca,run_ukca,run_ukca,run_ukca,run_ukca,run_ukca,run_ukca,run_ukca,run_radiation,run_radiation,run_radiation,jules_sea_seaice,jules_snow,jules_snow,jules_snow,jules_snow,jules_snow,jules_snow,jules_pftparm,jules_pftparm,jules_pftparm,jules_pftparm,jules_pftparm,jules_snow,jules_pftparm,jules_nvegparm
Parameter,printInNamelist,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Parameter,Key process metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,standardValue,,,,2.5,0.5,-3.0909,-2.9,-1.1,1,3,0.3,1,1,0.5,0.8,0.001,0.0004,2,1800,1,0.5,0.03,4,4,0.7,2.6,2.82843,1,400,10,1,0.15,0.23,0.85,0.056,0.1,0.15,40,1.6,1,0,0.00015,1.65,10000,0.02,0.9,2.47,1,0.0257,0.22,1,2,10,1200,1.00E-04,1,1,1,2,1,1,1,1,1,1,0.077,0.00599,-0.1365,22,109,2.80E-06,4.10E+01,1.50E+02,8,4,36,0.875,1.1,0.04,3,3,0.6,0.01
Parameter,Role,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,Scheme,,,,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,GWD,GWD,GWD,GWD,GWD,GWD,CLD,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,CLD,CLD,CLD,CLD,LSP,LSP,LSP,LSP,LSP,LSP,LSP,LSP,LSP,LSP,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,CHARNOCK,SNOW,SNOW,SNOW,SNOW,SNOW,SNOW,JULES,JULES,JULES,JULES,JULES,JULES,JULES,JULES
Parameter,Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,
Experiment,,1,1,0,2.5,0.5,-3.0909,-2.8999747,-1.09999505,1,3,0.3,1,1,0.5,0.8,0.001,0.0004,2,1800,1,0.5,0.03,4,4,0.7,2.6,2.82843,1,400,10,1,0.15,0.23,0.85,0.056,0.1,0.15,40,1.6,1,0,0.00015,1.65,10000,0.02,0.9,2.47,1,0.0257,0.22,1,2,10,1200,0.0001,1,1,1,2,1,1,1,1,1,1,0.077,0.00599,-0.136501,22,109,2.80E-06,41,150,8,4,36,0.875,1.1,0.04,3,3,0.6,0.01
Experiment,,1,1,1,2.25,0.5,-3.1,-2.498745226,-0.96733717,2,3.75,0.45,1,1,0.7,1,0.00125,0.0005,1.5,1800,1,0.5,0.03,3.5,4.25,1.05,2.375,2.375,1,400,12.5,0.8,0.275,0.25,0.923913043,0.056,0.1,0.1275,34,1.6,1,0,0.0003,1.5,12500,0.5005,0.7,2.715,1,0.0185,0.22,0,1.5,7,1200,0.000125,0.95,0.55498706,1,1.5,1,0.9,1.54,1.25,1.74,0.76,0.075,0,-0.143725,19,109,2.75E-06,41,150,7,5,35.5,0.825,1.1,0.04,2.5,2,0.4,0.01
Experiment,,1,1,2,2.25,0.5,-3.1,-2.498745226,-0.96733717,2.325,4.325,0.4725,1.096725252,1.452475479,0.6725,1,0.001375,0.0005125,2.261387212,2555.477325,0.840896415,0.5,0.032904207,3.625,4.625,1.275,2.5625,2.5625,1.555273828,400,19.375,0.516129032,0.3875,0.25,0.923913043,0.05,0.133817829,0.17625,47,2.649778749,1.169922447,0.292893219,0.0004,1.5,16875,0.5005,0.589743359,2.7225,1.17023615,0.024129041,0.23350583,0.418862559,1.75,7,2186.055986,0.000322062,1,1,1,1.8125,1.412927857,1.36625,1.38,1.6875,3.399181869,0.76,0.075,0,-0.143725,19,106.9649015,3.20E-06,41,147.9649015,7,5.48293369,34.25,0.818,1.182544889,0.0525,3.25,2.0625,0.4,0.010750408
Experiment,,1,1,3,2.355476537,0.349194097,-2.654635554,-2.013217219,-0.889919263,3.464792074,5.824994826,0.042240663,1.001765158,3.243284821,0.584705463,0.793354404,0.001634567,0.000316438,2.388769588,2822.391656,0.922782867,0.836177438,0.034713618,1.158725811,1.548295663,1.560845198,1.746349633,1.807134866,0.73850391,403.0924609,17.92392334,0.557913567,0.291279708,0.245568422,0.907535472,0.03522587,0.115258074,0.194020558,51.7388156,5.296598181,1.221935166,0.469394575,0.000735433,1.404380908,11748.45216,0.106062196,0.431070852,2.99769512,0.645628572,0.011532515,0.223280597,0.652228399,1.699153643,4.36980959,1931.81503,8.93E-05,0.824457379,2.480978958,1.278673128,0.898950996,2.829739637,1.613475723,1.457045411,0.678647452,4.43355761,0.565381656,0.072536312,-0.002695276,-0.147940372,19.85926569,100.2132843,2.60E-06,46.83230874,147.045593,4.546544139,6.916400679,35.85510878,0.923339574,1.352228245,0.02362476,3.680651162,2.672655655,0.612619055,0.01805478
Experiment,,1,1,4,1.782557781,0.366839358,-3.018415834,-1.893321057,-0.748790272,2.566423912,3.544647308,0.682506535,1.467437594,0.586634246,0.937182151,1.472680609,0.001742256,0.00063202,1.014026324,2321.277333,0.912728023,0.451328687,0.019286568,2.84610882,9.308925878,0.586495947,2.470661487,3.887904688,5.032322811,381.8330138,10.57660419,0.945483052,0.063954517,0.223146966,0.82467357,0.065921823,0.203695429,0.18782567,50.08684534,6.372185163,1.749956245,0.302751034,0.000498688,1.162450968,29092.75125,0.623764025,0.259012453,2.716484894,0.747844076,0.023209303,0.227405098,0.888781272,1.577043954,4.985791803,8701.350642,0.000706263,1.220801884,0.788733099,1.207480614,2.324719949,1.457097623,1.800049941,1.835184708,0.424074768,8.510227664,0.852983885,0.069639639,-0.002671032,-0.149703374,19.65809071,145.6125947,2.81E-06,30.3318233,175.944418,3.748894102,3.714318996,34.41764648,0.939886707,1.485178056,0.04308807,5.003766133,1.294354188,0.194114582,0.011849192
Experiment,,1,1,5,1.755333438,0.43885873,-2.943239075,-1.532145149,-0.669671688,3.132831714,1.013015256,0.922214962,1.218697866,2.652573979,0.8824631,1.213685177,0.001271076,0.000202978,1.969394264,3899.590936,0.889560908,0.415152783,0.03844226,2.084038908,0.889057105,1.096690852,2.757323149,2.233773168,1.413157409,382.027813,14.43762555,0.69263467,0.201336933,0.377134031,1.393756202,0.07246748,0.026512911,0.146575779,39.08687451,3.052849307,1.039143191,0.171528023,0.00020948,1.740948973,24268.47367,0.262486316,0.068752905,2.587097917,0.895025565,0.049261802,0.261576433,0.151754458,1.421727061,10.26057969,3499.068236,7.70E-05,1.087868402,0.405804421,0.907693863,2.127455918,1.347677158,0.680470079,0.853585387,1.051337943,3.248905782,0.682220759,0.041245337,0.000344868,-0.164206759,15.99266654,69.77310756,3.39E-06,40.08875243,109.86186,8.467053118,3.43353471,34.27220072,0.734114249,1.851749458,0.089893214,3.008757068,0.907651348,0.446185882,0.007143095
Experiment,,1,1,6,2.549018357,0.67125803,-3.319722621,-3.250832933,-1.181451407,3.386442153,6.606151986,0.461449839,2.434747293,0.406611174,0.752167529,0.437550473,0.001176591,0.000740439,1.792040249,2924.062972,0.927418329,0.940807378,0.028690333,2.328756578,0.198854017,1.674751384,2.067792297,1.636412627,1.59683234,433.3442724,7.993690239,1.250986678,0.357699896,0.418515372,1.546687243,0.036972697,0.165253468,0.282683358,75.3822289,5.75565259,0.465617822,0.14249723,0.000138977,1.216438402,7574.250812,0.915551257,0.820883396,3.157205476,0.912625398,0.036762953,0.155932444,0.11304322,1.886187657,10.96861788,717.115772,5.63E-05,1.037992955,0.298785582,1.011784991,1.258492918,0.894210303,1.44295803,0.95101733,3.294335046,3.64699126,0.780686624,0.03347801,0.003135066,-0.166209002,17.84414182,131.0675911,4.26E-06,48.59736604,179.6649572,9.337325076,4.901595823,35.83108155,0.843552667,1.77780262,0.057445133,1.527628138,1.616753416,0.171436582,0.011434185
Experiment,,1,1,7,2.59204835,0.533015337,-3.053576248,-2.855487872,-1.10968351,2.316561305,5.254961563,0.384732824,1.814747019,2.676721379,0.505260863,1.088656121,0.0013806,0.000169114,4.189682698,2552.108493,0.927577427,0.20322224,0.035610746,2.353606739,2.165259014,2.404952981,1.887512807,2.001421187,1.112319499,426.8818955,8.567729659,1.167170347,0.547519906,0.332530577,1.228917351,0.044118327,0.100085909,0.300713972,80.19039255,2.976835607,1.231946251,0.21067547,0.000372525,1.436812431,16568.83366,0.216736263,0.513606725,2.953751261,1.14578375,0.025945,0.255142064,0.90816469,0.768639487,5.678319849,1854.912098,9.88E-05,0.99834874,3.644240796,1.165464103,1.332811114,0.82286644,1.165727784,1.878964141,1.784442623,4.59148828,0.712466091,0.10813315,0.003865222,-0.119416625,20.77546864,100.6735274,6.34E-06,68.20672929,168.8802567,8.261545176,3.269827932,31.41776065,0.774586883,1.008980273,0.058617457,2.192910385,0.529432669,0.137001683,0.01569333
Experiment,,1,1,8,2.040536653,0.362254078,-3.003278608,-2.282472561,-0.880613151,2.202230533,1.614826881,0.624905557,0.797785674,0.790940992,0.738834836,1.828726767,0.001778387,0.000820544,1.252880915,1509.717015,0.81617955,0.799760485,0.024923525,5.659947824,0.427689666,2.453071788,2.264609802,1.478575819,0.81282676,415.5310381,11.39993846,0.877197718,0.313374507,0.448334387,1.656887952,0.029483148,0.108664517,0.26563912,70.83709855,1.654991808,1.286131135,0.34743614,0.000369399,1.329796422,7236.608328,0.861404453,0.762461757,2.548827736,1.750347595,0.013367377,0.308551352,0.639226833,1.210684836,8.748916658,1250.062154,0.000680596,0.874140977,1.000388773,0.335384366,2.864944046,1.078115795,0.866636574,1.089378189,2.305387769,0.313555367,0.580321007,0.048432091,-0.002855509,-0.162972909,18.9859752,111.2188965,3.99E-06,37.18665945,148.4055559,5.92774311,5.207088636,36.42081266,0.688772516,1.141566451,0.088756265,4.485793588,3.357132599,0.650947491,0.008291062
Experiment,,1,1,9,2.81796157,0.549650472,-2.75722619,-2.356781958,-1.054114618,1.31300514,3.836357557,0.716204764,1.202628136,2.11220996,0.90312801,0.798984064,0.001873506,0.000664441,1.500705367,2519.384085,0.93704328,0.405183627,0.06147284,4.682215559,5.641984331,1.802146519,2.994212275,2.587123915,3.037600629,428.289436,15.69409083,0.637182498,0.529604678,0.462096374,1.707747471,0.04357183,0.065009902,0.06035148,16.09372787,0.988151604,0.877659091,0.051403163,0.00038709,1.228863369,17740.43367,0.33148564,0.840524814,2.720970041,1.472380144,0.013986699,0.19500141,0.073012461,3.103560089,10.7080331,2855.781375,4.25E-05,0.944340946,1.88838305,1.33158661,2.59632081,1.438345292,1.526773469,0.922430897,0.392332941,5.943247079,1.098146461,0.099033012,-0.003932192,-0.132828823,21.24617455,85.31452145,4.18E-06,49.14284101,134.4573625,8.04030493,7.958504901,37.94193192,0.933422206,1.933799022,0.031752678,5.035314748,1.449447725,0.388100698,0.008404824
Experiment,,1,1,10,2.668876724,0.613838267,-3.144397207,-3.047907962,-1.164530429,1.24258544,2.389691788,0.39486399,1.151957726,0.759171699,0.928891014,1.750230947,0.001730949,0.000116646,2.744873494,3397.344993,0.465537859,0.495221725,0.039136851,1.046914832,8.904917755,2.710064167,1.120253535,1.923742465,4.004347136,392.3508417,14.70055375,0.680246484,0.517350447,0.265050279,0.97953364,0.031416887,0.135540897,0.171578075,45.75415339,0.934958697,0.918338631,0.309037465,0.000146065,1.694313582,24571.10416,0.901936926,0.824440159,2.518896351,2.121540133,0.026086852,0.509884078,0.395410728,2.274839705,7.748530455,4944.186214,0.000222967,0.848558377,0.730084867,0.968461857,2.565658403,0.315139845,1.238682904,1.321278707,0.960714211,7.739567789,0.950361438,0.091588282,0.005068972,-0.128421058,15.37022955,124.0887524,2.53E-06,66.36267564,190.4514281,7.765082625,7.108631704,35.45428597,0.948236252,1.318544267,0.060752828,2.498438616,0.620871425,0.139634351,0.018407959
Experiment,,1,1,11,2.089139547,0.557861568,-2.645476813,-1.23173765,-0.67647511,1.225679204,1.99711247,0.411939067,0.953974319,0.222446454,0.656825161,1.679890636,0.001481583,0.000831909,3.72872525,2496.881749,0.998487908,0.666004946,0.038534417,4.476745701,1.908793582,0.48360952,2.731574608,2.690365511,0.851795195,396.2302484,24.66805447,0.405382598,0.007022085,0.185382912,0.685110761,0.056759822,0.169768596,0.176018685,46.93831604,3.389020577,0.732905091,0.248521817,0.000409701,1.582037102,22627.45662,0.195240867,0.916218837,2.57325186,1.687894668,0.042852153,0.236357738,0.179534081,0.936148779,3.451032991,2791.869779,0.000591371,1.135195032,0.768000619,0.748796216,2.67557627,1.047425512,1.867581939,1.642089957,2.197390598,7.500049794,0.855774997,0.066529813,0.00286446,-0.146086646,19.47696238,99.36649885,2.26E-06,63.67865718,163.045156,5.233809815,5.500031099,33.51603549,0.743316412,1.108141256,0.034214005,5.264959054,2.511654191,0.792070319,0.011222703
