ROW TYPE,ATTRIBUTE_NAME,Realisation,Initialisation,Parameters,ent_fac_dp,ent_fac_md,amdet_fac,r_det,cca_md_knob,cca_dp_knob,cca_sh_knob,mparwtr,qlmin,gwd_frc,fbcd,gwd_fsat,gsharp,nsigma,g0_rp,ricrit_rp,orog_drag_param,a_ent_1_rp,g1_rp,zhloc_depth_fac,par_mezcla,lambda_min_rp,dec_thres_cloud,dec_thres_cu,forced_cu_fac,dbsdtbs_turb_0,two_d_fsd_factor,dp_corr_strat,ice_width,c_r_correl,m_ci,ai,x1r,ar,mp_dz_scal,ps_anth_so2_emiss,ps_dry_depvel_so2,ps_sigma_updraught,biom_aer_ems_scaling,ps_natl_ss_emiss,ps_acc_cor_scav,param_cloud_hplus,ps_natl_dms_emiss,u10_max_coare,r0,rho_snow_fresh,tupp_io,f0_io,dz0v_dh_io,nl0_io,rootd_ft_io,psm,delta_toa,co2_pathway_file
Parameter,Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
Experiment,,1,1,0,1.016496055,1.146634206,1.746170476,0.570517728,0.14135616,0.257163843,0.298939481,0.001076063,0.000365983,4.900550609,0.571757062,1.142663193,0.503378061,1.905374858,9.42163182,0.278228888,0.524157379,0.136573782,1.16932618,0.873165308,0.097662226,36.8025506,0.16655661,0.078251576,0.615838174,0.000705815,1.856403646,23700.29889,0.953994745,0.659714395,0.648853293,0.017028293,0.229137483,0.969229404,2.280181141,0.94726032,2.052382381,1.282938084,1.227142501,0.494539013,1.033935157,6.472397942,1.704253001,17.55546287,68.84830287,95.91124867,37.93215048,0.761277129,0.092510318,0.108837719,2.587960222,1.2939033,0.933756949,RCP85
Experiment,,1,1,90,0.750826333,1.731638311,10.90359095,0.567319,0.127835315,0.192984649,0.646974695,0.001340361,0.000411869,1.25771694,1.95565257,1.029510133,0.869620433,2.319027955,13.40284601,0.649163101,0.466428196,0.17154118,1.453213937,0.156090329,0.409579662,76.72386254,0.191817581,0.021808929,0.620760874,0.000640876,1.877167556,22271.40439,0.207152431,0.143559775,0.598548184,0.034497195,0.24896369,0.093951987,1.625177081,0.691249314,1.442979422,0.380876801,1.722623911,1.415494331,1.783674827,5.163260953,0.885289955,18.74519814,74.57646628,100.3344227,31.06981545,0.904457651,0.105327959,0.074081985,2.858423582,1.59697789,-0.380658646,aldrq
Experiment,,1,1,605,1.019073221,0.418172678,1.442231271,0.726836053,0.373660724,0.078244997,0.324527509,0.001211109,0.000129826,3.243352628,0.915821195,1.305896068,1.157540898,2.967423487,32.17590946,0.751381467,0.352266819,0.289502941,0.948918415,0.907683432,0.311265917,92.27625667,0.04718429,0.114022357,0.443919058,0.000515805,1.32022403,10962.35694,0.098472161,0.748994954,0.867193207,0.045197541,0.140410349,0.788161185,3.317970488,1.356700076,1.640932301,0.448749877,2.012633988,1.724236452,1.554867426,5.16381827,1.046590789,14.94681938,56.74449251,118.8628441,31.59302421,0.822014084,0.120163808,0.032754195,0.431967515,1.34533736,-0.05772679,bcc-csm1-1-m
Experiment,,1,1,834,0.499737812,1.795783339,5.783815837,0.804710523,0.121182876,0.409277824,0.48162338,0.001491818,0.000217179,5.172687355,8.288094149,0.992423723,0.79506674,1.744821342,6.801242586,1.992118938,0.427476113,0.383494826,1.020052887,0.724075977,0.217904868,19.52595548,0.037133647,0.080408287,0.763609653,0.00070629,1.439124907,24111.63506,0.642786286,0.495280059,0.602281459,0.024616039,0.156192459,0.936372664,0.916880459,1.332416534,1.247157284,0.587435046,3.172929561,0.957403994,1.676383411,6.408450285,0.989696787,19.7593117,67.26997298,115.1802206,32.14234431,0.714101224,0.091847534,0.077518489,2.954868254,1.240819231,-4.03906877,aldpp
Experiment,,1,1,1113,0.642581185,1.488967751,6.393223641,0.897615544,0.167088676,0.233206663,0.207252031,0.001415753,0.000185489,6.411074203,3.451812443,1.407498835,1.317122635,2.975138082,24.42363651,1.539996687,0.627981126,0.361038181,1.123849052,0.331333871,0.06647788,60.27961688,0.128320957,0.117090974,0.476657252,0.000284724,1.31483728,4398.231053,0.013535736,0.178677768,1.73286155,0.036029787,0.24013079,0.964852204,3.30946778,0.640230153,1.672235294,0.644977462,2.867440712,1.791714712,1.712352426,5.198602846,0.733487828,21.90417968,67.29718179,111.8560934,36.97462149,0.739745352,0.141345589,0.071949418,4.925862184,1.68401288,-4.012239757,aldsj
Experiment,,1,1,1554,1.298724897,1.343862096,12.04561643,0.709276755,0.217917996,0.238386267,0.613346265,0.001206339,0.00040945,2.125412748,1.229942503,0.736111794,1.355350232,3.352539782,40.5667411,0.831741848,0.119470577,0.182153655,1.331959136,0.061831924,0.418704097,43.87271184,0.120334646,0.097850093,0.842935539,0.000212083,1.130838488,7659.393572,0.312232781,0.129477663,0.723091578,0.025319292,0.393988964,0.888225177,3.201116868,0.677809185,0.606091907,0.697308709,2.284540407,0.956987423,1.52922317,6.482528961,1.640060329,18.11759352,43.65656343,123.3669973,34.23992485,0.840030222,0.103982008,0.105654166,5.564943694,1.481279753,-0.370454815,aldpc
Experiment,,1,1,1649,0.92468187,1.833080015,2.014132502,0.717509175,0.153169453,0.423759105,0.27027268,0.001470938,0.000436112,5.948460808,7.208674399,1.010689352,1.204435211,3.119460673,8.771103599,1.966334541,0.107131309,0.284117492,0.695114202,0.776487668,0.059461318,86.74172166,0.148433422,0.029714325,0.49318175,0.000122825,1.725619129,21444.21438,0.603671247,0.51458675,0.613327876,0.015561121,0.305189068,0.972697807,1.120016635,1.359291967,1.239356327,0.779824188,3.027753697,2.486467901,1.403203629,5.506606811,1.374691271,15.44749952,67.53805252,91.60561239,31.58439052,0.713304351,0.080522784,0.077440863,2.990083735,1.171873517,-3.594656368,aldpb
Experiment,,1,1,1843,1.073477877,1.517776508,9.095650768,0.590022822,0.191065499,0.232539545,0.169803384,0.001231606,0.000111078,1.934592987,3.707571549,0.585059727,0.510783338,3.379702784,20.82207076,1.047937254,0.142777299,0.157109608,1.31759175,0.175502314,0.175601718,50.16493229,0.086251978,0.041691006,0.702727303,0.000541052,1.563692197,25849.706,0.507468625,0.72614392,1.596472728,0.037811446,0.240514519,0.629826356,2.81552692,1.292213391,0.654472335,0.722996449,1.272321365,1.859928596,1.586677995,5.416358209,1.498946937,18.80095019,61.51860881,91.91308622,33.33442298,0.707611824,0.066667368,0.102017315,3.327479059,1.065597384,1.358760932,aldqm
Experiment,,1,1,1935,0.415094787,1.322011459,3.762429661,0.829129566,0.374490763,0.151984267,0.164024582,0.001205987,0.000390303,1.772338694,0.439248875,1.253210617,0.40996413,2.677112712,28.83239813,1.760182235,0.273886794,0.153948961,1.299838251,0.074249675,0.140759887,58.1238507,0.174112963,0.066277962,0.663864397,0.000436834,1.737811148,15813.09144,0.516860558,0.377708732,1.222940769,0.031676241,0.167884711,0.312356228,2.156446831,1.175198986,1.132225323,0.988885235,1.314757365,0.659044597,1.050247171,6.390449164,1.52839928,19.92523467,56.17380484,117.0311542,32.95836789,0.912070029,0.050270907,0.035952209,2.477804295,1.087148323,-4.353868056,aldqi
Experiment,,1,1,2089,0.488522872,1.606674726,7.855606753,0.857650189,0.152788336,0.193125862,0.627560848,0.001061963,0.000188433,4.346064113,0.783139659,0.669420485,0.237712924,1.870513876,7.432021837,0.26192335,0.161851451,0.3539929,0.299967354,0.674890977,0.09837251,49.78797429,0.121936813,0.078861535,0.761118333,0.000488239,1.824549686,22416.92651,0.359714155,0.114614042,1.661780611,0.034312733,0.363853546,0.662538741,0.594277644,1.287137104,0.627543359,0.649753607,3.219970633,2.202234371,1.016790694,6.037382729,0.937162557,19.37084101,72.80990992,92.34637788,37.80914277,0.857301316,0.055126343,0.085828206,1.332798281,1.343453196,3.405920445,aldsq
Experiment,,1,1,2123,0.724726917,0.599665871,10.04020561,0.828537857,0.279855836,0.384652738,0.634955289,0.00168767,0.000306398,6.899607199,3.169030072,0.87115536,1.374184369,3.212065596,32.03518898,0.606981625,0.224376869,0.233120643,0.652448789,0.670226306,0.307724346,27.25190745,0.078042527,0.074144947,0.852654905,0.000130436,1.244078925,10812.66335,0.494732592,0.224625259,0.876654082,0.014231719,0.168108795,0.806819116,1.56526269,1.036880284,0.808668026,0.742704472,0.882228697,1.364447399,1.5652306,5.074063321,1.568422196,22.39332332,55.52532569,116.0650519,37.75970905,0.778524567,0.134889711,0.077944877,5.407032282,1.845906761,0.110524828,NorESM1-ME
Experiment,,1,1,2242,0.880033887,1.489615695,8.27083377,0.645405663,0.310162276,0.127121403,0.354039419,0.001664462,0.00023041,4.149887839,7.00344783,0.292006276,0.871831469,3.517510546,27.17928018,1.54852178,0.576452951,0.378020774,1.490299467,0.946532699,0.14078925,75.29849211,0.203557032,0.102916617,0.821676364,0.000160424,1.762364564,26059.66734,0.429567575,0.500458006,1.425989789,0.043837323,0.254652085,0.33672428,0.887893506,1.002893204,0.533668434,0.485654025,0.931154563,1.616774697,0.819309265,5.989534936,0.983253585,16.37383362,67.77245081,104.0621068,30.60737627,0.781097854,0.116757287,0.031736751,4.456275518,1.696347397,1.553205876,aldsl
Experiment,,1,1,2305,1.179856826,0.95635754,1.621970553,0.656785154,0.289369911,0.188883312,0.183563208,0.001127657,0.000300653,3.214870912,2.601697906,0.292372802,0.448259899,3.086431405,35.47017211,0.512945024,0.205227783,0.184990025,1.053906195,0.826337128,0.038318115,114.8653618,0.145569901,0.1038876,0.451691179,0.000179911,1.444936999,8613.924677,0.875154592,0.704831532,0.467975736,0.014387715,0.12306948,0.726867405,1.677521452,0.761034723,0.990658614,0.67961659,1.78969191,0.849991292,0.88803453,6.460429543,1.392951279,20.39926982,62.3949753,106.6429164,37.16200382,0.916353656,0.059445396,0.067170736,5.553628864,1.193580786,0.210106204,aldrj
Experiment,,1,1,2335,0.528325742,1.563581106,11.38707978,0.745944855,0.214497024,0.266352897,0.128137265,0.00124458,0.000311129,6.739158194,3.006268621,1.403038657,1.495104147,1.680203633,5.430112945,1.141344206,0.189666955,0.265579021,0.277121956,0.867820535,0.135274168,111.0775637,0.220823399,0.035397959,0.325332604,0.000769274,1.713124106,9617.432516,0.739671138,0.275525768,1.855017818,0.027448171,0.24034147,0.956104152,2.983614193,1.285634236,0.489046304,0.531086727,0.818496681,1.860190845,1.510678955,5.425147291,0.933475502,22.88809392,51.24661652,125.2461882,28.00666599,0.929919035,0.072042729,0.099109677,5.6616505,1.841487333,-0.446063539,aldsi
Experiment,,1,1,2491,0.661467449,0.67841864,1.928906596,0.6626858,0.349348733,0.318611459,0.593347847,0.001105091,0.000403325,8.251428777,5.262128593,1.068406553,0.237383724,2.007701639,23.13868427,1.758419003,0.343067554,0.163393085,0.779204474,0.262834155,0.108087937,86.87442885,0.038212585,0.058903461,0.78361909,0.000453421,1.415900196,9038.203537,0.422009308,0.448379684,0.632728823,0.025619289,0.169485252,0.250780697,0.472327851,0.667848639,1.516434612,1.279252518,2.702636564,2.102614261,1.977562439,6.582785421,1.13980125,15.44896241,49.58729516,126.5703168,36.19526298,0.919362151,0.090553203,0.051502881,0.536968725,1.494175653,-2.89149749,aldql
Experiment,,1,1,2753,0.691112506,0.858806895,11.72872763,0.803390654,0.310403273,0.110063643,0.359106862,0.001697341,0.000262013,2.081651744,2.346423698,1.281048676,1.457816522,3.524574048,43.0711319,1.822886174,0.094322794,0.085501548,1.211075105,0.761729896,0.27347558,89.09945544,0.136563538,0.05290983,0.434882912,0.000122052,1.869012469,17159.24768,0.109023224,0.159770097,1.751585322,0.019211518,0.307395115,0.434587418,1.88735919,0.924122407,1.368136729,0.936383441,2.32617822,1.98610899,1.814246393,5.309953891,1.514343405,20.31726789,42.92393131,121.6522806,34.1602822,0.792867413,0.138697391,0.102434849,7.157611796,1.657421421,1.948719994,aldpi
Experiment,,1,1,2832,1.458438824,1.805309719,6.05805525,0.580277818,0.423844271,0.129420172,0.580961097,0.001730414,0.000210647,1.559587448,1.898035671,0.656899816,1.529066842,1.586544407,24.18807407,0.553243038,0.060172602,0.142870815,0.279383445,0.324781508,0.046106475,52.82365808,0.204247805,0.047266943,0.379651953,0.000157186,1.910698751,20532.71221,0.135245983,0.154005865,1.766116457,0.013863426,0.373996007,0.153741104,2.775036242,1.349596306,1.970490163,1.0053228,2.63980103,2.614037356,1.607426898,5.415985388,1.337303073,20.16074703,73.07372663,118.4016519,34.57062983,0.754349542,0.135962528,0.06802,1.167572558,1.636072693,1.032576755,aldqp
Experiment,,1,1,2868,0.609542323,1.843024144,5.463377578,0.858730327,0.344721145,0.0814197,0.487106499,0.001547814,0.000325587,3.215632915,0.524402424,1.26700345,0.723144387,3.197524479,13.95305962,1.090519154,0.109552499,0.123609028,0.966980433,0.233699289,0.266333758,80.18448138,0.124255311,0.086435212,0.800444632,0.000345059,1.133154609,4023.602042,0.834388703,0.631654999,1.5071122,0.045559178,0.356509847,0.348912312,0.739740436,1.385867456,1.081880059,0.987480941,2.012431481,2.238210955,1.307968618,5.569342871,1.690933095,22.18810532,49.73919061,89.07848078,38.49692278,0.786460677,0.067174368,0.099371303,5.632697034,1.196718637,4.709287377,MPI-ESM-LR
Experiment,,1,1,2884,0.964274632,0.877096798,11.32245125,0.679605899,0.38851944,0.238355605,0.118572346,0.001585793,0.000309358,4.112953745,4.75222485,1.038242959,0.558428595,1.771689567,7.777506921,2.0046148,0.294505867,0.104938508,0.730628064,0.820028739,0.221614789,60.09719429,0.042654338,0.083737525,0.765141801,0.000317933,1.444183102,10534.61556,0.55219096,0.493633627,0.585564069,0.039519231,0.240898038,0.473748065,2.750092651,1.148470682,1.780069619,0.341426492,0.639544074,2.300673139,1.870652821,5.097693536,1.26619315,15.68421711,48.27084048,96.89780874,27.85996046,0.814814929,0.055760718,0.034126661,0.744067182,1.624168549,-4.093577255,aldqj
Experiment,,1,1,2914,0.917075026,0.809968233,11.13468724,0.733706092,0.192964377,0.421887566,0.467832371,0.001644577,0.000270143,7.482801587,4.892651507,0.608046845,0.491794159,1.816976371,30.63019674,0.526866025,0.33078768,0.368780286,1.136999455,0.619054367,0.324540481,10.73192166,0.102178917,0.019450704,0.835919571,0.000245533,1.879646049,17832.81837,0.182979892,0.891302022,0.662955622,0.032089648,0.411944982,0.627665982,0.891408411,0.675653319,0.348538107,1.283002516,2.871281886,2.302744427,0.765823032,5.229384589,0.72490163,19.12245735,57.50969208,103.0433405,38.72071165,0.850325853,0.124960281,0.102701379,4.678312163,1.790303305,-1.647169236,aldre
