ROW TYPE,ATTRIBUTE_NAME,Realisation,Initialisation,Parameters,prog_ent_max,prog_ent_min,prog_ent_xmax,prog_ent_xmin,prog_ent_int,prog_ent_grad,tau_conv_prog_precip,eff_dcfl,eff_dcff,cpress_term,ent_fac_md,amdet_fac,r_det,cca_md_knob,cca_dp_knob,mparwtr,qlmin,gwd_frc,fbcd,gsharp,nsigma,g0_rp,ricrit_rp,orog_drag_param,a_ent_1_rp,g1_rp,dec_thres_cloud,near_neut_z_on_l,dbsdtbs_turb_0,two_d_fsd_factor,dp_corr_strat,ice_width,param_pdf_power,param_pdf_merge_power,c_r_correl,param_aut_qc,m_ci_rp,ai,x1r,ar,mp_dz_scal,param_mp_czero,param_mp_tau_lim,qclrime,a_ratio_exp,a_ratio_fac,starticetkelvin,tice,param_tnuc,allicetdegc0to1,allicetdegc,ps_anth_so2_emiss,ps_dry_depvel_so2,ps_sigma_updraught,biom_aer_ems_scaling,ps_natl_ss_emiss,ps_acc_cor_scav,ps_natl_dms_emiss,ps_prim_moc,ps_dry_depvel_acc,ps_bc_refrac_im,aparam,liu_latent,bparam,u10_max_coare,r0,rho_snow_fresh,rmax,a_snow_et,rho_snow_et_crit_delta,rho_snow_et_crit,unload_rate_u,can_clump,tupp_io,f0_io,z0v_io,nl0_io,rootd_ft_io,n_lai_exposed3and4,n_lai_exposed5,fsmc_p0_io,gs_nvg_io
Parameter,transformFunc,,,,,,,,make_prog_ent_int,make_prog_ent_grad,,,,,,,,,cca_md2dp_knob,,,,,,,,g0toRicrit,,,a_ent_1_to_g1,,,,,,,,,,,,,,,,,,,,a_ratio_exp2fac,,start2tice,start2tnuc,,start2allticedegc,,,,,,,,,,,,,aparam2bparam,,,,,,,make_rho_snow_et_crit,,,,,,,,,,,
Parameter,distribution,,,,"UniformRandom(1.5, 3)","UniformRandom(0.3, 0.7)","UniformRandom(-5.4, -4.4)","UniformRandom(-3.6, -2.6)",,,"TruncatedGamma(3600, 43200, 10800, 5)","RandomTrapezoidal(0.8, 1, 3, 4.5)","RandomTrapezoidal(0.8, 1.5, 6, 9)","RandomTrapezoidal(0, 0, 0.9, 0.99)","RandomTrapezoidal(0, 0.5, 2, 3)","RandomTrapezoidal(0, 0.5, 10, 15)","RandomTrapezoidal(0.3, 0.5, 0.9, 0.99)","RandomTrapezoidal(0.0, 0.5, 1.5, 2)","RTrapezoidal(0,0.1,0.2,1,2,5)","RandomTrapezoidal(0.001, 0.001, 0.0015, 0.002)","RandomTrapezoidal(0.00005, 0.0001, 0.0009, 0.001)","RandomTrapezoidal(0.5, 1, 6, 7)","RandomTrapezoidal(0, 0.5, 8, 10)","RandomTrapezoidal(0, 0.1, 2.0, 3)","RandomTrapezoidal(1, 1.75, 3, 4.5)","RandomTrapezoidal(2.5, 5, 20, 50)",,"RandomTrapezoidal(0, 0.05, 0.5, 1)","RandomTrapezoidal(0, 0.1, 0.4, 0.5)","RandomTrapezoidal(0, 0.5, 1.5, 2)","TruncatedGamma(0.01, 0.8, 0.1, 3)","TruncatedGamma(0, 10, 1.6, 2)","RandomTrapezoidal(0, 0.0001, 0.0005, 0.001)","RandomTrapezoidal(1, 1.1, 1.9, 2)","RandomTrapezoidal(2500, 5000, 20000, 40000)","UniformRandom(0.001, 1)","UniformRandom(0.0, 2.0)","UniformRandom(0.0, 1.0)","PiecewisePdf((0, 0.35), (0.7, 1.25), (0.9, 1), (1, 0.5))","RandomTrapezoidal(2.15, 2.41, 3.02, 3.31)","TruncatedGamma(0.33, 3, 1, 5)","TruncatedGamma(0.0061, 0.0555, 0.0185, 3)","TruncatedGamma(0.09, 0.52, 0.22, 12)","PiecewisePdf((0, 1), (0.5, 0.75), (1, 0.5))","RandomTrapezoidal(0, 1, 2, 4)","RandomTrapezoidal(2, 4, 10, 12)","TruncatedGamma(600, 9600, 1200, 2)","RandomTrapezoidal(1e-06, 5e-05, 0.0002, 0.001)","RandomTrapezoidal(-0.4, -0.36, -0.26, 0)",,"RandomTrapezoidal(234.15, 253.15, 267.15, 273.15)",,,"UniformRandom(0,1)",,"RTrapezoidal(0.6,0.81,1.09,1.5,2,2)","RTrapezoidalLog10Scale(-0.69,-0.25,0.25,0.69,2,2)","RTrapezoidal(0.25, 0.9, 1.1, 1.75, 2, 2)","RTrapezoidal(0.25,0.8,2.2,4,2,2)","TruncatedGamma(0.12, 4, 1, 2.5)","RTrapezoidal(0.5, 0.81,  0.99, 2, 4, 1)","RTrapezoidal(0.5, 1.26, 1.82, 2, 2, 3)","RandomTrapezoidal(0.25, 0.5, 2.0, 4.0)","RandomTrapezoidal(0.1, 0.32, 3.16, 10)","RandomTrapezoidal(0.38, 0.52, 1.0, 1.14)","UniformRandom(0.03, 0.12)","UniformRandom(-0.007, 0.007)",,"RandomTrapezoidal(14, 15, 23, 24)","RandomTrapezoidal(40, 50, 50, 80)","RandomTrapezoidal(50, 109, 109, 160)","RandomTrapezoidal(1500, 1800, 2200, 2500)","Beta(2, 4, 1e-6, 7e-6)","RandomTrapezoidal(0, 21, 61, 82)",,"TruncatedGamma(1.155e-6, 4.62e-6, 2.31e-6, 10)","TruncatedGamma(2, 12, 5, 8)","RandomTrapezoidal(25,31,40,41)","RandomTrapezoidal(0.65, 0.7, 0.95, 0.972)","TruncatedGamma(0.55, 2.2, 1.1, 10)","RandomTrapezoidal(0.01, 0.02,0.06, 0.12)","RandomTrapezoidal(0,1,4,8)","RandomTrapezoidal(0.25, 0.5, 3.5, 4)","RandomTrapezoidal(0.25, 0.5, 3.5, 4)","UniformRandom(0, 0.8)","TruncatedGamma(0.005, 0.02, 0.01, 10)"
Parameter,allowOutsideRange,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Parameter,Signature effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,Explicit resolution dependency,,,,,,,,,,,,,,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes. (see LRs excel),,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,References/key evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,namelistFile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,namelist,,,,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_convection,run_gwd,run_gwd,run_gwd,run_gwd,run_stochastic,run_stochastic,jules_surface,run_stochastic,run_stochastic,run_bl,run_bl,run_cloud,run_radiation,run_radiation,run_cloud,run_cloud,run_cloud,run_precip,run_ukca,run_stochastic,run_precip,run_precip,run_precip,run_precip,run_precip,run_precip,run_precip,run_precip,run_precip,run_cloud,run_convection,run_precip,run_cloud,run_cloud,run_ukca,run_ukca,run_ukca,run_ukca,run_ukca,run_ukca,run_ukca,run_ukca,run_ukca,run_ukca,run_radiation,run_radiation,run_radiation,jules_sea_seaice,jules_snow,jules_snow,jules_snow,jules_snow,jules_snow,jules_snow,jules_snow,jules_snow,jules_pftparm,jules_pftparm,jules_pftparm,jules_pftparm,jules_pftparm,jules_snow,jules_snow,jules_pftparm,jules_nvegparm
Parameter,printInNamelist,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Parameter,Key process metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,standardValue,,,,2.5,0.5,-4.90909,-3.0909,-2.9,-1.1,10800,1,3,0.3,0.9,3,0.5,0.8,0.8,0.001,0.0004,4,4,0.5,2.5,10,1,0.15,0.23,0.85,0.1,1.6,0.00015,1.5,10000,0.02,0,0.5,0.9,2.47,1,0.0257,0.22,1,1,10,1200,1.00E-04,-0.2707,0.0517,263.15,263.15,-10,0.50332384,-20,1,1,1,2,1,1,1,1,1,1,0.07,0.00681,-0.14,22,50,109,2000,2.80E-06,4.10E+01,1.50E+02,2.31E-06,4,36,0.875,1.1,0.04,3,3,2,0,0.01
Parameter,Role,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter,Scheme,,,,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,CONV,GWD,GWD,GWD,GWD,BL,BL,BL,BL,BL,BL,BL,CLD,CLD,CLD,CLD,CLD,CLD,LSP,LSP,LSP,LSP,LSP,LSP,LSP,LSP,LSP,LSP,LSP,LSP,LSP,LSP,LSP,LSP,LSP,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,MODE,CHARNOCK,SNOW,SNOW,SNOW,SNOW,SNOW,SNOW,SNOW,SNOW,JULES,JULES,JULES,JULES,JULES,JULES,JULES,JULES,JULES
Parameter,Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,,1,1,0,2.5,0.5,-4.90909,-3.0909,-2.9,-1.1,10800,1,3,0.3,0.9,3,0.5,0.8,0.8,0.001,0.0004,4,4,0.5,2.5,10,1,0.15,0.23,0.85,0.1,1.6,0.00015,1.5,10000,0.02,0,0.5,0.9,2.47,1,0.0257,0.22,1,1,10,1200,1.00E-04,-0.2707,0.0517,263.15,263.15,-10,0.50332384,-20,1,1,1,2,1,1,1,1,1,1,0.07,0.00681,-0.14,22,50,109,2000,2.80E-06,4.10E+01,1.50E+02,2.31E-06,4,36,0.875,1.1,0.04,3,3,2,0,0.01
Experiment,,1,1,1,2.25,0.5,-4.9,-3.1,-2.513888889,-0.972222222,10800,2,3.75,0.45,1.25,5.25,0.7,1,1,0.00125,0.0005,3.5,4.25,1.05,2.375,12.5,0.8,0.275,0.25,0.923913043,0.1,1.6,0.0003,1.5,12500,0.5005,1,0.5,0.7,2.715,1,0.0185,0.22,0,1.5,7,1200,0.000125,-0.31,0.03923011,260.15,260.15,-13,0.5,-21.66352228,0.95,0.55498706,1,1.5,1,0.9,1.54,1.25,1.74,0.76,0.075,0,-0.143725,19,50,109,2000,2.75E-06,41,150,2.31E-06,5,35.5,0.825,1.1,0.04,2.5,2,2,0.4,0.01
Experiment,,1,1,2,2.25,0.5,-4.9,-3.1,-2.513888889,-0.972222222,26800,2.65,4.9,0.495,1.5,7.5,0.645,1,1,0.0015,0.000525,3.75,5,1.5,2.75,26.25,0.380952381,0.5,0.25,0.923913043,0.505,5,0.0005,1.5,21250,0.5005,1,0.5,0.5,2.73,1.65,0.0308,0.295,0.5,2,7,5100,0.0005005,-0.2,0.07413311,253.15,253.15,-20,0.5,-26.08651906,1.05,2.6,1,2.125,2.06,1,1.25,2.125,5.05,0.76,0.075,0,-0.143725,19,60,105,2000,4.50E-06,41,146,2.89E-06,7,33,0.811,1.375,0.06,4,2.125,2.125,0.4,0.0125
Experiment,,1,1,3,2.137879211,0.582095236,-4.739015608,-3.281960902,-2.922249632,-1.06775948,21493.15568,2.592559794,5.830904815,0.381248779,0.761399351,9.007802608,0.458512312,1.796919546,1.796919546,0.001028483,0.000335223,1.172373404,5.409811639,2.115728356,2.869690354,12.93712941,0.772969001,0.485501384,0.048688086,0.17993423,0.137539805,3.586704553,0.000279179,1.349548597,27947.86818,0.609790805,0.251070117,0.093003455,0.263251558,2.273203096,1.387588709,0.038848864,0.277616568,0.959990834,3.631183454,10.49961705,929.8009377,0.000200949,-0.116168468,0.100732855,251.0951743,251.0951743,-22.05482568,0.60214046,-26.38266348,1.269876009,0.591253717,1.011571845,2.085962673,0.350612914,1.010699559,1.660031829,1.972791586,5.203551418,1.079665927,0.093351802,-0.005216809,-0.137618747,22.90056992,66.59312451,116.7568162,1764.948735,3.41E-06,7.749419838,124.506236,2.65E-06,5.887973647,35.48659402,0.883145038,0.762180276,0.026211324,1.858102353,0.537505674,0.661136505,0.131579109,0.01413776
Experiment,,1,1,4,2.968968091,0.632416136,-5.245515924,-3.489490368,-4.01066865,-1.330591088,23201.93201,2.244085975,8.066611449,0.53451586,1.723178278,9.228659243,0.769964251,0.706698067,0.706698067,0.00155198,0.000484509,3.654383863,5.826767353,1.107124484,2.163389756,9.979929061,1.00201113,0.15359249,0.418005097,1.544801446,0.076607466,2.795912465,0.000214285,1.751285833,4964.655544,0.640858791,1.657989531,0.297329654,0.145930772,2.670850461,0.890302223,0.025871045,0.182193919,0.26290007,1.847266503,5.235376199,3199.348598,0.000550189,-0.165802985,0.084983823,268.3570918,268.3570918,-4.792908181,0.94878922,-6.233273255,0.977962266,0.425648726,1.105233721,3.237496068,2.958835336,1.045092409,1.588962406,2.834172962,3.257306717,1.049368612,0.033808033,0.001226294,-0.16791415,20.42873337,69.98867947,135.1129847,2322.414465,2.67E-06,46.79827364,181.9112583,2.22E-06,6.324880155,31.23266354,0.725385753,1.404711831,0.021547829,2.251100988,1.266488708,3.079844807,0.066121586,0.006658655
Experiment,,1,1,5,2.22708426,0.406984725,-4.49241684,-2.653605141,-2.219616731,-0.989823774,19326.86897,1.78123856,5.625416355,0.501600513,1.28074249,13.28286408,0.489759497,1.257410223,1.257410223,0.001071815,0.000264205,6.77985692,4.647184303,0.862195659,3.138609688,19.53859745,0.511807463,0.394422897,0.174077457,0.643329734,0.19516871,0.808781029,0.000199432,1.358402429,6738.92694,0.017149275,0.860145556,0.175167255,0.875615128,2.215307232,1.555184823,0.024965897,0.188352648,0.848249271,1.209226305,10.11772284,4891.504569,0.000561293,-0.288089423,0.046182336,269.3475574,269.3475574,-3.802442554,0.409932202,-19.43508436,1.062661181,4.023901078,0.901746758,0.865879843,1.021239645,1.391875409,1.414020276,0.68066016,0.388187673,1.09525738,0.101078804,-0.003261905,-0.130896283,17.0069013,71.71888257,72.05404514,2186.202946,6.37E-06,72.231353,144.2853981,1.93E-06,6.023982128,33.17270755,0.833303247,1.504253102,0.057637645,6.423124173,2.581441363,1.03923149,0.617429775,0.013373419
Experiment,,1,1,6,1.930962874,0.599758623,-5.033067468,-2.657057666,-0.888907989,-0.560268838,11506.66712,2.965574454,2.083760323,0.028815144,0.862114486,10.27944117,0.579977285,0.489653087,0.489653087,0.001556783,0.000770171,1.894958283,8.015406477,0.539424075,2.139351368,28.64808762,0.349063439,0.380333781,0.069685934,0.257534975,0.065429966,2.031401496,0.000139162,1.949043089,26502.00071,0.073262987,0.496012144,0.013497283,0.487255618,2.44230815,1.418002244,0.012768556,0.248101705,0.517980114,0.835433677,8.35202879,2218.830847,0.000629997,-0.214559125,0.069513499,258.9121375,258.9121375,-14.2378625,0.067766736,-33.50760545,0.969551926,0.443836364,1.636750008,1.377730985,2.443657557,1.835994879,1.816699572,3.462442819,5.682383346,0.820336028,0.070242686,-0.005771514,-0.152431776,20.92713471,68.52978,59.20944519,1667.066675,1.74E-06,9.917008497,69.12645369,3.73E-06,3.365427447,37.49368872,0.734110052,1.308525021,0.032274049,3.860870745,0.967586039,2.382541579,0.359684805,0.019260321
Experiment,,1,1,7,2.240505593,0.628126717,-4.863085271,-3.355215774,-2.959636712,-1.069309299,20899.27644,1.472721799,1.887320826,0.869444169,1.430577418,3.509860996,0.509242199,0.109175535,0.109175535,0.001194542,0.000278793,1.365790976,8.561749923,2.34243655,3.124472055,16.67655332,0.599644291,0.106350591,0.193054937,0.713463896,0.126288153,0.340723801,0.000646105,1.84152022,28371.78544,0.397535536,1.849796316,0.63516869,0.904345995,2.663010373,1.14713593,0.023148853,0.092267809,0.822129189,0.491597441,8.023647272,1681.105771,0.000464196,-0.176781928,0.081500204,264.9468524,264.9468524,-8.203147579,0.105539895,-30.42905147,1.075926779,1.179719267,1.330983033,1.749564346,0.427941633,1.050669201,1.566622001,2.772730794,6.388696936,0.963709894,0.080179129,0.002555887,-0.137973591,16.84632572,49.35244325,84.06053213,2177.272385,3.77E-06,21.62472025,105.6852524,1.84E-06,7.039826734,34.21997536,0.715747395,1.056259563,0.106915515,0.327994891,3.602337369,3.435987588,0.192264831,0.008968742
Experiment,,1,1,8,2.924813084,0.311323088,-5.364293028,-3.252827991,-3.714901956,-1.237761436,10391.64616,1.579494797,6.916122824,0.49431751,1.673161281,6.274131744,0.749599214,0.871586106,0.871586106,0.001294156,0.000867195,3.06676427,0.930716381,0.895816405,3.009105723,40.09710813,0.249394544,0.541835306,0.376848101,1.392699505,0.221030878,2.126551109,0.000628879,1.126894443,19175.56873,0.803744487,1.627900167,0.906635297,0.913379753,2.675690099,1.113772931,0.00965223,0.16730968,0.58035861,2.501676824,11.55314338,2500.240623,0.000528125,-0.2225053,0.066992178,261.0375601,261.0375601,-12.11243985,0.548072869,-20.29268695,0.91014742,0.262371161,0.789470771,2.823890323,1.821785934,1.192482228,1.756751816,2.427940756,1.841872055,0.55870303,0.103692139,-0.004017683,-0.130039633,17.28714094,55.80704019,91.4202118,2370.884402,2.24E-06,17.64589487,109.0661067,2.59E-06,4.692407173,32.32156288,0.911104935,1.31208396,0.020051965,2.272148252,1.156070038,0.488704568,0.307835531,0.011589835
Experiment,,1,1,9,2.309869267,0.570776248,-4.723151457,-3.510535466,-4.463915498,-1.434166325,18023.22778,2.39915918,6.007829826,0.393278134,1.270613167,3.477630954,0.965765573,0.573798998,0.573798998,0.001005716,0.000397125,4.128043492,3.254408029,2.252799101,3.084936783,31.00270229,0.322552528,0.968709459,0.370437363,1.369007647,0.135962707,1.588319836,0.000114562,1.246017109,16519.02784,0.48370001,1.633725701,0.561161482,0.243787505,2.465060195,1.089958184,0.014060448,0.287886062,0.824586385,2.242400661,4.423780225,1150.130737,0.000614433,-0.078488874,0.11268859,252.2248382,252.2248382,-20.92516178,0.848098851,-22.76168053,0.824616844,1.092011925,1.075066387,2.135936106,1.684537432,1.605143097,1.102832184,1.894500417,3.450165399,0.756508988,0.03735522,-0.002647046,-0.169598875,19.19378018,69.793829,127.6403445,1953.226397,1.98E-06,22.51024309,150.1505876,3.35E-06,3.320989259,34.31672708,0.769354658,1.871198103,0.016282832,5.232522419,1.018807322,2.512148612,0.755380148,0.009824704
Experiment,,1,1,10,2.091472897,0.611899249,-4.4871694,-3.401266047,-4.022420737,-1.36252793,23431.08537,4.035937354,4.104253203,0.42506415,2.176303399,6.039972238,0.477078586,1.223665112,1.223665112,0.001514087,0.000137344,5.154173251,0.666336634,1.174060075,1.366753755,41.84899042,0.23895439,0.424611689,0.096537957,0.35677071,0.180751085,4.084886894,0.000272843,1.407919829,13437.40308,0.418779549,0.988638544,0.481683152,0.196221471,2.709813995,1.046881664,0.021526383,0.305231777,0.056146076,2.650976594,7.553698522,3655.338785,0.000130244,-0.184964714,0.078903806,270.8300207,270.8300207,-2.319979277,0.17674691,-26.30125494,0.880428328,0.524387324,1.092761667,2.118280666,0.677515982,1.398275398,1.428470947,1.447688468,2.064786022,0.805781816,0.071316185,-0.004575403,-0.150573316,22.39856216,49.16304536,86.47100207,2076.512888,2.87E-06,38.76229301,125.2332951,2.66E-06,8.970401419,32.7280979,0.675520713,1.32113189,0.038725084,6.451552285,1.439166757,0.681372291,0.707313318,0.008474243
Experiment,,1,1,11,1.975903744,0.452853106,-4.571391351,-2.910258247,-2.215488562,-0.916874532,19014.21853,1.407257259,6.621684282,0.903324744,1.705198546,7.090142665,0.628940501,1.008891149,1.008891149,0.001265143,0.00052517,6.089610474,7.415802795,1.429574006,1.800012965,11.85284717,0.843679148,0.011143755,0.469660207,1.735700764,0.041093761,3.183915464,0.000279721,1.76080701,33586.93979,0.133578642,1.29420976,0.288966585,0.315258585,2.896670765,1.485745157,0.036928409,0.254885776,0.608413917,0.653870481,7.193888844,2677.821219,5.17E-05,-0.27595666,0.050032062,247.7213942,247.7213942,-25.42860584,0.056251023,-36.66660361,0.720336427,3.013221223,0.925151381,0.383696663,2.8352132,1.578807993,1.074415608,2.469588005,9.407866344,0.530654687,0.034424417,0.005966319,-0.162793815,22.43920195,59.44448516,69.94742547,2209.5743,4.05E-06,25.32656328,95.27398875,1.45E-06,8.084843498,40.15261974,0.957335455,1.388566827,0.019455117,1.042881476,1.783702765,3.667212175,0.657270084,0.009587457
